x,y,z
169,574,-44
169,574,-45
169,574,-47
169,574,-49
169,573,-50
169,573,-52
168,573,-56
168,573,-58
168,573,-60
168,573,-62
168,572,-64
168,572,-66
168,572,-67
168,572,-69
168,572,-70
168,572,-72
168,572,-73
168,572,-73
168,572,-74
168,572,-74
168,572,-74
168,572,-74
168,572,-74
168,572,-74
168,572,-74
168,572,-73
168,572,-73
168,572,-72
168,572,-72
168,572,-71
168,572,-70
168,572,-68
168,572,-66
167,573,-65
166,573,-64
165,573,-62
163,574,-61
162,574,-59
160,575,-57
157,576,-56
155,576,-54
152,577,-52
149,578,-50
145,578,-48
141,579,-46
137,580,-43
133,580,-41
129,581,-38
124,582,-36
119,582,-33
114,582,-30
109,583,-28
105,583,-25
100,583,-22
95,583,-19
90,583,-15
85,583,-12
80,583,-9
76,583,-5
70,583,-2
66,583,0
61,582,4
57,582,7
52,581,11
47,581,15
43,580,18
37,579,22
33,579,26
28,578,29
24,577,33
19,576,37
15,575,41
10,573,45
6,572,49
1,571,54
-3,569,58
-7,568,63
-11,566,67
-16,565,72
-21,563,77
-25,561,82
-29,559,87
-33,557,92
-38,555,97
-41,553,102
-44,551,107
-47,549,113
-49,548,118
-51,546,123
-52,544,128
-54,542,134
-55,540,139
-55,539,145
-55,537,150
-55,535,155
-56,534,161
-56,532,166
-56,530,172
-56,529,177
-56,527,183
-56,525,188
-56,524,194
-56,522,199
-55,521,205
-55,519,210
-55,517,215
-55,516,220
-55,514,225
-54,513,230
-53,512,235
-52,510,240
-51,509,245
-49,506,255
-49,505,260
-47,504,265
-45,503,270
-44,502,275
-42,501,279
-40,500,284
-38,500,289
-35,499,293
-33,498,298
-30,498,303
-27,497,307
-23,497,311
-20,496,316
-16,496,320
-12,496,324
-8,496,328
-4,496,332
0,495,336
5,495,340
10,495,344
15,495,347
20,495,350
26,495,354
32,495,357
37,495,360
43,495,363
49,494,366
56,494,368
62,493,371
69,493,374
75,492,376
81,491,379
88,490,381
94,489,383
101,488,385
108,487,387
114,486,389
121,485,390
128,484,392
135,482,393
141,481,394
148,480,395
155,478,395
162,477,396
168,475,396
175,474,396
182,473,395
189,471,395
196,470,394
201,469,393
208,468,392
215,466,390
222,465,388
228,464,386
234,463,384
240,462,382
247,461,379
253,460,376
259,460,373
265,459,369
271,459,366
276,458,362
282,458,358
287,458,353
292,458,349
297,458,344
302,458,339
306,459,334
311,459,329
316,460,324
320,461,318
323,461,312
327,462,306
331,463,300
334,464,294
338,466,288
341,467,282
